20260818 20:10:11 |INFO| 无法获取游戏窗口
20260818 20:10:12 |INFO| 无法获取游戏窗口
20260818 20:10:12 |INFO| 无法获取游戏窗口
20260818 20:10:12 |INFO| 无法获取游戏窗口
20260818 20:10:13 |INFO| 无法获取游戏窗口
20260818 20:10:13 |INFO| 无法获取游戏窗口
20260818 20:10:13 |INFO| 无法获取游戏窗口
20260818 20:10:53 |INFO| 无法获取游戏窗口
20260818 20:10:53 |INFO| 无法获取游戏窗口
20260818 20:10:53 |INFO| 无法获取游戏窗口
20260818 20:10:54 |INFO| 无法获取游戏窗口
20260818 20:10:54 |INFO| 无法获取游戏窗口
20260818 20:10:54 |INFO| 无法获取游戏窗口
20260818 20:10:55 |INFO| 无法获取游戏窗口
20260818 20:29:46 |INFO| 检测实训任务
20260818 20:30:34 |INFO| 领取实训奖励
20260818 20:33:44 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260818 20:33:44 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260818 20:33:45 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260818 20:33:45 |ERROR| 出现错误:OpenCV(4.13.0) D:\a\opencv-python\opencv-python\opencv\modules\imgproc\src\templmatch.cpp:1179: error: (-215:Assertion failed) _img.size().height <= _templ.size().height && _img.size().width <= _templ.size().width in function 'cv::matchTemplate'

20260818 20:33:47 |INFO| 检测实训任务
20260818 20:34:08 |INFO| 使用万能合成台
20260818 20:34:34 |INFO| 领取实训奖励
20260818 20:38:26 |INFO| 检测实训任务
20260818 20:39:09 |INFO| 领取实训奖励
20260818 20:49:24 |INFO| ✓ 加载配置文件: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\module\common\../../assets/json\starrail_config.json
20260818 20:49:27 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:27 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:27 |INFO| 
找到主窗口:
20260818 20:49:27 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:27 |INFO|   尺寸: 1924x1140
20260818 20:49:27 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:27 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:28 |INFO| 匹配点不足: 1/10
20260818 20:49:28 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:49:29 |INFO| 所有方法都未能匹配成功
20260818 20:49:29 |INFO| 图片匹配失败
20260818 20:49:44 |INFO| ✓ 加载配置文件: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\module\common\../../assets/json\starrail_config.json
20260818 20:49:47 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:47 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:47 |INFO| 
找到主窗口:
20260818 20:49:47 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:47 |INFO|   尺寸: 1924x1140
20260818 20:49:47 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:47 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:48 |INFO| 匹配质量不足: 0.439
20260818 20:49:48 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:49:49 |INFO| 检测实训任务
20260818 20:49:49 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:49 |INFO| 找到StarRail.exe进程，PID: 29152
20260818 20:49:49 |INFO| 
找到主窗口:
20260818 20:49:49 |INFO|   标题: 崩坏：星穹铁道
20260818 20:49:49 |INFO|   尺寸: 1924x1140
20260818 20:49:49 |INFO| {'last_window_position': {'title': '崩坏：星穹铁道', 'class_name': 'UnityWndClass', 'rect': (478, 384, 2402, 1524), 'width': 1924, 'height': 1140}}
20260818 20:49:49 |INFO| 截图已保存到: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:50 |INFO| 匹配质量不足: 0.427
20260818 20:49:50 |INFO| 特征点匹配失败，尝试多尺度模板匹配...
20260818 20:49:51 |INFO| ✓ 已删除: D:\Program\PycharmProjects\AIAssistantProject\starrail_assistant\assets\images\common\screenshot.png
20260818 20:49:51 |INFO| 找到StarRail.exe进程，PID: 29152
